# index code colatitude longitude radius 
114 LSA 60.465251818438070 91.150000000000006 6376.5785936467164
115 CPA 67.785029377737033 103.83300000000000 6375.0668644140023
116 GUA 76.504592440589335 144.87000000000000 6377.1168047583087
117 KOR 82.718542059798963 134.50000000000000 6377.8017659187171
118 TTB2 91.191968964281003 311.48300000000000 6378.1376999569839
119 HNA 92.552818647663159 140.52000000000001 6378.3243623599355
120 TNG 96.126030208307398 106.63300000000000 6377.9062465095703
121 PAF 139.15969282953844 70.200000000000003 6365.9210342013639
122 PIO 159.60767538202805 95.500000000000000 6362.0369982333177
123 VIC 41.674050457852218 236.58300000000000 6366.3763527695119
124 FAN 86.126028687230061 200.61699999999999 6378.0418952282434
125 JRV 89.619563907915875 199.96700000000001 6378.1400531577838
126 TRW 133.07596539318797 294.61799999999999 6368.1652686096568
127 LRV 25.968189195376361 338.30000000000001 6360.8405219630840
128 KIV1 39.471762410927361 30.300000000000001 6364.3689969653651
129 KNY 58.750943461144246 130.88200000000001 6372.4668433935585
130 GZH 67.045530828217139 113.34300000000000 6374.8814295979746
131 ANN 78.707134306877947 79.683000000000007 6377.3129658975968
132 PMG 99.346134060979949 147.15199999999999 6377.6502355364919
133 VOS 168.37431160202053 106.86700000000000 6361.1162438188867
134 TMK 33.710447928003106 84.933000000000007 6363.3160857214716
135 GCK 45.559395000504260 20.766999999999999 6367.8573524976737
136 MCP 45.642371011897964 8.9499999999999993 6368.3573212268602
137 AAE2 81.029442101846385 38.767000000000003 6380.0565017918098
138 TRD2 81.572968486942415 76.950000000000003 6377.9754488120498
139 PAB 84.218697052363538 304.77999999999997 6377.9209250421918
140 LUA3 98.858255649743896 13.167000000000000 6377.6803956513168
141 KVA 101.55722518330720 27.417000000000002 6377.2744723898368
142 TAH 107.43965692699089 210.38300000000001 6376.2073551552821
143 MRI 109.97611464497457 57.549999999999997 6375.6300286923497
144 WIL 156.10780598511121 110.58000000000000 6360.2552248334159
145 SYO 158.87795437358619 39.590000000000003 6359.5168292777498
146 BYR1 169.91687025079159 240.00000000000000 6357.4042991222032
147 MFP 86.672369100605067 8.6699999999999999 6380.0135861270483
148 MMK 21.882776910941992 33.082999999999998 6359.9097717962914
149 ASH 52.236459426272873 58.107999999999997 6370.6615304281740
150 LZH 54.095954903211450 103.84500000000000 6372.3183864712792
151 SPA 179.99295282282677 346.67800000000000 6356.7520011474680
152 HIS 9.4451017008722538 58.049999999999997 6357.3450754906717
153 MRM 21.179330089430675 33.049999999999997 6359.5311656334861
154 IRT2 38.019574987717881 104.45000000000000 6365.3794953250490
155 PEG1 52.139621192064382 23.867000000000001 6370.5514744619250
156 WHN 59.640116504553049 114.55900000000000 6372.6954868518587
157 TEN 61.678017382780276 343.73300000000000 6373.6148463891905
158 LWI 92.234956712443818 28.800000000000001 6379.7843143828031
159 HLL 162.20531816528657 170.21700000000001 6358.7401643494732
160 BLC 25.817561943272668 263.96699999999998 6360.8214875502999
161 AQU 47.808546083122501 13.317000000000000 6369.0944016776311
162 TEH 54.445220927323646 51.381999999999998 6372.2491753574996
163 MLT 60.649705593891944 30.891999999999999 6373.0996728336459
164 LMM 115.76602437087703 32.582999999999998 6374.1295176687063
165 PIL 121.49530851497167 296.11700000000002 6372.6149502964472
166 NWS 160.37858672173547 357.46699999999998 6359.2327056300546
167 MNK 35.682135905744140 27.882999999999999 6364.2035495838209
168 HON3 68.810026386364115 201.99799999999999 6375.3336954501574
169 NVL 160.63995732471588 11.816000000000001 6359.5515787023705
170 STO 36.333500975399097 357.52999999999997 6364.3504196266786
171 NCK 42.558668151892100 16.716999999999999 6366.6676732701526
172 KNZ 54.928182781160821 139.96000000000001 6371.3945046260051
173 LAS 124.82637041833431 302.31000000000000 6371.1586809596483
174 SNA1 160.17754324184591 357.63299999999998 6359.2001929367398
175 ALE 7.5529848426374029 297.64699999999999 6357.1796507910994
176 BYR2 169.95108544351285 240.48300000000000 6357.3999244719989
177 MBC 13.773729304698453 240.63800000000001 6357.9984839042536
178 KIR 22.301790805171205 20.417000000000002 6360.2083789971939
179 AAA 46.941988572786897 76.917000000000002 6369.4419638306172
180 FCC 31.411921019230377 265.91199999999998 6362.5546515402011
181 KIV2 39.471729821098201 30.300000000000001 6365.4679910021823
182 DAL 57.195489480281466 263.25000000000000 6372.0477219238664
183 SAB 59.804563414034440 77.798000000000002 6373.2050707888848
184 SBA 167.77057073090396 166.78299999999999 6357.7219531720220
185 EGS 165.13787398985306 282.83300000000003 6358.6022969532487
186 BOU 50.051504828589017 254.76200000000000 6370.9440544658919
187 NAI 91.324081783198821 36.817000000000000 6379.7955243988072
188 TSU 109.09770065123473 17.699999999999999 6375.9204858986659
189 SJG2 71.996425914451393 293.85000000000002 6376.4848021396210
190 HYB 72.696581400365403 78.555000000000007 6376.7364551624669
191 KGD 40.372818951579113 73.082999999999998 6365.6987328432542
192 CTS 44.145284912164108 11.650000000000000 6368.2986354115164
193 ROB 45.892352823284575 7.8830000000000000 6367.7505983190686
194 LNP 65.147087291688052 121.16700000000000 6374.4437746150743
195 MOL 157.53140558820687 45.850000000000001 6359.8620671651088
196 RBD2 160.31123547339189 24.300000000000001 6359.1685689018514
197 GWC 34.913412067623810 282.21699999999998 6363.7563913248114
198 BEL 38.350115326868753 20.792000000000002 6365.1392456058156
199 NEW 41.928228781611040 242.88000000000000 6367.0535805128484
200 UBA 42.341538507131247 107.05000000000000 6366.4269889034977
201 PTU 169.17929458299710 40.500000000000000 6361.1220623214604
202 NAL 11.155827293989528 11.933000000000000 6357.5596496101325
203 MGD 30.049533298105768 151.01700000000000 6362.0940578349682
204 NVS 35.147950585298283 82.900000000000006 6363.9355414543197
205 BDV 41.110553852287659 14.015000000000001 6366.4668379947871
206 NAQ 29.063121607520827 314.80000000000001 6361.7829379408022
207 PPT 107.45755972672256 210.42500000000001 6376.2935166775642
208 OTT 44.792414046857104 284.44999999999999 6367.4150917852630
209 STJ 42.596692371777671 307.32299999999998 6366.6218082250271
210 POD 28.561312079150792 90.000000000000000 6361.6211858367196
211 PET1 37.285325326014537 158.43299999999999 6364.5747539297518
212 MIZ 51.178100387050108 141.08000000000001 6369.8268600610718
213 CRC 52.952230499527694 237.86699999999999 6370.3496808086165
214 SJL 67.121177095378769 277.35000000000002 6374.8907534806713
215 HVN2 67.170943692344125 277.85000000000002 6374.9040959415970
216 SNA2 160.19463157461348 357.66699999999997 6359.1961408050292
217 CBB 21.005464726845009 254.96899999999999 6359.5077508301438
218 TCN 67.768110514234991 114.21700000000000 6375.0624265901688
